Main Header,Subheader 1,Subheader 2,Section,site
OPERA MAIORA,Scriptum super Sententiis,Prooemium,Prooemium,https://www.corpusthomisticum.org/snp0000.html
OPERA MAIORA,Scriptum super Sententiis,Prooemium,Quaestio 1,https://www.corpusthomisticum.org/snp0001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 1,https://www.corpusthomisticum.org/snp1001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 2 prooemium,https://www.corpusthomisticum.org/snp10020.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 2 articuli 1-2,https://www.corpusthomisticum.org/snp10021.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 2 articulus 3,https://www.corpusthomisticum.org/snp10023.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 2 articuli 4-5,https://www.corpusthomisticum.org/snp10024.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 3,https://www.corpusthomisticum.org/snp1003.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 4-7,https://www.corpusthomisticum.org/snp1004.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctio 8,https://www.corpusthomisticum.org/snp1008.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 9-18,https://www.corpusthomisticum.org/snp1009.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 19-21,https://www.corpusthomisticum.org/snp1019.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 22-25,https://www.corpusthomisticum.org/snp1022.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 26-32,https://www.corpusthomisticum.org/snp1026.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 33-34,https://www.corpusthomisticum.org/snp1033.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 35-41,https://www.corpusthomisticum.org/snp1035.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 42-44,https://www.corpusthomisticum.org/snp1042.html
OPERA MAIORA,Scriptum super Sententiis,Liber 1,Distinctiones 45-48,https://www.corpusthomisticum.org/snp1045.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Prooemium,https://www.corpusthomisticum.org/snp2000.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctio 1,https://www.corpusthomisticum.org/snp2001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 2-4,https://www.corpusthomisticum.org/snp2002.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 5-8,https://www.corpusthomisticum.org/snp2005.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 9-11,https://www.corpusthomisticum.org/snp2009.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 12-15,https://www.corpusthomisticum.org/snp2012.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 16-20,https://www.corpusthomisticum.org/snp2016.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctio 21,https://www.corpusthomisticum.org/snp2021.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctio 22,https://www.corpusthomisticum.org/snp2022.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 23-29,https://www.corpusthomisticum.org/snp2023.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 30-33,https://www.corpusthomisticum.org/snp2030.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctio 34,https://www.corpusthomisticum.org/snp2034.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 35-41,https://www.corpusthomisticum.org/snp2035.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctiones 42-43,https://www.corpusthomisticum.org/snp2042.html
OPERA MAIORA,Scriptum super Sententiis,Liber 2,Distinctio 44,https://www.corpusthomisticum.org/snp2044.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 1,https://www.corpusthomisticum.org/spd3001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 4-22,https://www.corpusthomisticum.org/spd3004.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 23-34,https://www.corpusthomisticum.org/spd3023.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Prooemium,https://www.corpusthomisticum.org/snp3000.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 1,https://www.corpusthomisticum.org/snp3001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 2-4,https://www.corpusthomisticum.org/snp3002.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 5,https://www.corpusthomisticum.org/snp3005.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 6-12,https://www.corpusthomisticum.org/snp3006.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 13-16,https://www.corpusthomisticum.org/snp3013.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 17-20,https://www.corpusthomisticum.org/snp3017.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 21-22,https://www.corpusthomisticum.org/snp3021.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 23-25,https://www.corpusthomisticum.org/snp3023.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 26,https://www.corpusthomisticum.org/snp3026.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 27-32,https://www.corpusthomisticum.org/snp3027.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 33,https://www.corpusthomisticum.org/snp3033.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 34-35,https://www.corpusthomisticum.org/snp3034.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctio 36,https://www.corpusthomisticum.org/snp3036.html
OPERA MAIORA,Scriptum super Sententiis,Liber 3,Distinctiones 37-40,https://www.corpusthomisticum.org/snp3037.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Prooemium,https://www.corpusthomisticum.org/snp4000.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 1,https://www.corpusthomisticum.org/snp4001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 2,https://www.corpusthomisticum.org/snp4002.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 3-6,https://www.corpusthomisticum.org/snp4003.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 7,https://www.corpusthomisticum.org/snp4007.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 8-10,https://www.corpusthomisticum.org/snp4008.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 11-12,https://www.corpusthomisticum.org/snp4011.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 13,https://www.corpusthomisticum.org/snp4013.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 14,https://www.corpusthomisticum.org/snp4014.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 15,https://www.corpusthomisticum.org/snp4015.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 16-17,https://www.corpusthomisticum.org/snp4016.html
